,Aayla Secura,Admiral Ackbar,Ahsoka Tano,Ahsoka Tano (Fulcrum),Asajj Ventress,B2 Super Battle Droid,Barriss Offee,Baze Malbus,Biggs Darklighter,Bistan,Boba Fett,Bodhi Rook,Cad Bane,Captain Han Solo,Captain Phasma,Cassian Andor,CC-2224 "Cody",Chief Chirpa,Chief Nebit,Chirrut Imwe,Chopper,Clone Sergeant - Phase I,Clone Wars Chewbacca,Commander Luke Skywalker,Coruscant Underworld Police,Count Dooku,CT-21-0408 "Echo",CT-5555 "Fives",CT-7567 "Rex",Darth Maul,Darth Nihilus,Darth Sidious,Darth Vader,Dathcha,Death Trooper,Dengar,Director Krennic,Eeth Koth,Emperor Palpatine,Ewok Elder,Ewok Scout,Ezra Bridger,Finn,First Order Officer,First Order Stormtrooper,First Order TIE Pilot,Gamorrean Guard,Gar Saxon,Garazeb "Zeb" Orrelios,General Grievous,General Kenobi,General Veers,Geonosian Soldier,Geonosian Spy,Grand Admiral Thrawn,Grand Master Yoda,Grand Moff Tarkin,Greedo,Han Solo,Hera Syndulla,Hermit Yoda,HK-47,Hoth Rebel Scout,Hoth Rebel Soldier,IG-100 MagnaGuard,IG-86 Sentinel Droid,IG-88,Ima-Gun Di,Imperial Super Commando,Jawa,Jawa Engineer,Jawa Scavenger,Jedi Consular,Jedi Knight Anakin,Jedi Knight Guardian,Jyn Erso,K-2SO,Kanan Jarrus,Kit Fisto,Kylo Ren,Lando Calrissian,Lobot,Logray,Luke Skywalker (Farmboy),Luminara Unduli,Mace Windu,Magmatrooper,Mob Enforcer,Nightsister Acolyte,Nightsister Initiate,Nute Gunray,Obi-Wan Kenobi (Old Ben),Old Daka,Pao,Paploo,Plo Koon,Poe Dameron,Poggle the Lesser,Princess Leia,Qui-Gon Jinn,R2-D2,Rebel Officer Leia Organa,Resistance Pilot,Resistance Trooper,Rey,Royal Guard,Sabine Wren,Savage Opress,Scarif Rebel Pathfinder,Shoretrooper,Sith Assassin,Sith Trooper,Snowtrooper,Stormtrooper,Stormtrooper Han,Sun Fac,Talia,Teebo,TIE Fighter Pilot,Tusken Raider,Tusken Shaman,Ugnaught,URoRRuR'R'R,Wedge Antilles,Wicket,Zam Wesell,
vomz,,IX,X,IX,VIII,,I,,X,I,X,I,VII,,XI,VIII,XI,IX,X,I,VII,XI,VIII,XI,III,VIII,XI,XI,XI,XI,VIII,XI,XI,X,X,VIII,VIII,VIII,XI,X,VIII,VIII,VII,XI,XI,XI,,I,VII,,XI,VIII,VIII,VII,I,XI,IX,VI,XI,VIII,,IX,VII,VII,IV,X,X,X,I,VIII,IX,VIII,VIII,XI,VI,VII,I,VII,I,XI,XI,I,I,XI,VIII,XI,VI,I,VI,VII,VI,IX,VIII,I,I,I,VIII,VI,XI,XI,XI,,VIII,VIII,X,IX,VII,IX,II,X,I,I,VII,VII,XI,I,VIII,X,X,I,X,I,,X,I,I,
giraffes12310,I,X,X,I,VIII,V,V,XI,XI,I,XI,I,I,,VIII,I,I,VII,IX,XI,V,VIII,VIII,,I,X,I,IX,XI,XI,XI,XI,XI,IX,V,I,III,VIII,XI,VIII,VI,VI,VII,,VI,IX,,I,VI,,XI,I,VIII,,IX,IX,IX,I,VII,VI,,X,VII,III,V,X,X,VIII,I,VIII,X,VII,VIII,XI,VIII,VIII,III,VI,I,IX,XI,I,I,IX,VIII,VIII,I,,,,I,VI,X,I,I,II,VIII,VIII,X,VIII,VI,,VIII,VI,X,X,IV,XI,III,X,I,I,II,I,XI,IX,VIII,VIII,XI,I,I,,I,X,I,,
sp,I,XI,XI,I,VIII,VII,X,XI,XI,I,XI,I,VII,,XI,I,I,XI,X,XI,VII,V,VII,XI,I,IX,I,X,I,VIII,XI,XI,XI,X,I,X,I,,XI,XI,I,VIII,VII,I,III,X,,I,VII,VI,XI,I,X,VIII,XI,XI,X,IV,XI,VIII,,X,VII,VII,V,XI,XI,XI,I,X,XI,VIII,IX,XI,VI,I,I,VIII,I,XI,XI,I,I,X,X,X,I,I,,VI,I,IX,IX,I,I,I,VIII,VIII,XI,XI,XI,,VIII,VII,X,XI,VIII,I,I,X,I,I,III,I,XI,XI,VIII,XI,XI,I,XI,IX,,XI,I,,
terrzm,,X,VIII,VI,XI,,VI,,XI,VII,IX,IV,VIII,,XI,VIII,VIII,IX,IX,VII,VIII,VIII,VIII,X,VI,VIII,VII,IX,VIII,XI,VIII,VIII,X,X,VI,VIII,V,VIII,XI,X,X,VIII,VIII,VIII,VI,VII,,VI,VIII,,VIII,III,VIII,VII,,X,IX,,X,VIII,,X,VII,VII,VII,X,XI,IX,V,VII,X,VIII,VIII,IX,VI,VII,VIII,VIII,VII,VIII,VIII,,VII,IX,X,X,VI,,,VI,V,IX,IX,VII,VI,VII,VII,V,XI,XI,X,,VIII,VI,X,X,VIII,VI,VI,VII,V,VIII,VI,VI,X,IX,VII,XI,X,,,VI,,XI,VII,,
gimmeaggro,IX,X,X,I,I,VIII,VIII,,XI,III,X,I,VII,,X,IV,I,X,VIII,I,V,VI,VIII,X,II,X,I,IX,VII,X,VIII,XI,XI,IX,XI,VIII,XI,I,XI,X,X,VII,VII,,,III,,V,VII,,VIII,VIII,X,,XI,X,XI,I,X,VIII,,VIII,VII,I,VII,VIII,VIII,XI,I,IX,VIII,VIII,VIII,XI,I,VII,VII,VIII,I,,XI,I,I,IX,VIII,VI,VIII,I,,IV,I,IX,X,I,I,I,VII,VIII,XI,XI,XI,,VIII,VII,X,X,VII,XI,VIII,XI,I,I,IX,VIII,XI,X,VIII,X,XI,VIII,X,VIII,I,X,I,I,
harifarkas,,XI,X,I,VIII,,I,X,XI,VIII,IX,I,VI,,XI,VIII,I,VIII,IX,VIII,VIII,VI,VIII,,VI,VIII,,I,XI,VIII,VIII,X,XI,XI,XI,VIII,VII,,XI,VIII,VIII,VIII,XI,X,X,XI,VIII,VIII,VII,,VIII,VI,XI,,VII,X,XI,IV,X,VIII,,I,VIII,VIII,VIII,VIII,IX,X,VIII,IX,IX,VIII,VIII,IX,VI,VII,VIII,VIII,VII,X,XI,I,I,VIII,XI,XI,VII,I,VIII,VIII,I,IX,VIII,I,I,I,X,I,VIII,XI,X,,X,XI,XI,IX,VII,I,VIII,VIII,I,VIII,VII,I,XI,VII,VIII,IX,XI,I,VIII,VII,I,X,I,I,
pointmanbinga,I,V,VII,I,VIII,,VIII,VIII,XI,I,IX,I,VIII,,X,VIII,XI,VIII,VIII,VIII,I,XI,V,,I,XI,XI,XI,X,VIII,I,VIII,VIII,VIII,I,IX,I,VII,X,VII,III,IV,VIII,,XI,XI,,I,IV,,IX,I,IV,,,VIII,IV,III,III,II,,I,I,,I,VIII,X,VIII,I,V,X,IV,VIII,VIII,IV,I,,IV,I,VII,XI,I,I,IV,X,VII,I,I,,I,I,,IX,VIII,,IX,V,II,X,XI,II,,I,I,X,XI,IV,XI,I,I,I,V,III,II,X,IX,VII,I,VII,,,I,I,XI,I,,
legitskies5,,I,VIII,I,,,,,XI,I,VIII,I,,,VII,,VII,I,X,,I,VIII,VI,,,,VII,VII,VIII,VIII,VII,VIII,VIII,VIII,III,VIII,I,VIII,IX,VI,VI,II,X,,VI,V,,I,II,,I,I,VII,VI,,IX,VIII,,I,III,,IX,,,III,X,XI,,I,VIII,IX,VIII,VIII,VIII,IV,I,,V,I,I,XI,,I,VII,VIII,XI,I,,,I,I,,VII,I,I,,X,II,XI,XI,VII,,X,X,X,VIII,III,,I,II,I,I,III,,X,,VII,VIII,VIII,,,,VI,XI,I,,
qikstart,,IX,X,,I,,,,X,I,X,I,VII,,X,VII,,I,XI,,I,V,VIII,,I,X,,IX,I,X,IX,X,X,X,I,VII,I,IX,X,X,VI,,,,VI,VII,,,,,VI,I,VIII,VIII,,VIII,IX,,VIII,,,XI,I,,VII,XI,XI,I,,IX,XI,IX,IX,I,I,,IX,I,,IX,,,,VI,X,IX,VII,,,I,VII,,X,,,,VI,I,VIII,XI,VIII,,IX,VI,I,X,,XI,I,,,,VII,I,IX,VIII,X,X,XI,,I,I,,X,,I,
lawdog68,,X,VII,I,,,,,X,VII,IX,II,VIII,,VIII,V,IV,,VIII,IV,III,V,VIII,,III,I,VII,II,V,VII,VII,VIII,VIII,VII,V,VI,III,VII,IX,IV,IV,VII,VIII,,III,VII,I,I,IV,I,IX,I,IV,,,VI,VII,VII,VII,VI,,I,VIII,,I,IV,IV,VII,I,VII,VII,VII,VIII,II,II,VIII,VII,III,,VII,XI,,I,VIII,VII,VII,IV,,,VI,,II,,I,I,IV,VIII,,V,IV,VII,,VI,VII,VIII,VII,VII,,VII,V,II,I,VII,V,XI,,IV,V,VII,,,,,X,,VIII,
